sector_code,sector_name_short,crec_ocupados,crec_horas,crec_productividad_hora,crec_productividad_trabajador
"001,002,004-008,013","Cultivos, apoyo agropecuario y mixtos",0.010454143535697069,0.0068143258102864035,0.026074580194816788,0.022378495153769773
003,Café,0.008107023935276736,0.0058093858900656326,0.01983117324024608,0.01750681397312981
009-012,Ganadería,-0.012573109061597143,-0.018727510283619075,0.051026931958387145,0.04447612653290878
"014,015",Silvicultura,-0.022782292740220034,-0.033093912898529365,0.06268260072715326,0.05146915335904323
016,Pesca y acuicultura,-0.0033706235194189693,-0.012340482817888243,0.057453347571861935,0.04793606063826772
017,Carbón,0.04141388417484371,0.03543137896215742,-0.05333976120094097,-0.05877794471214448
"018,021","Petróleo, gas y apoyo conexo",-0.0028886345768441846,-0.008119728891924138,0.005927359591185732,0.0006500143771859257
019,Minerales metalíferos,0.04403982999024225,0.03890245548886395,-0.059801482816768226,-0.06442788858182025
020,Otras minas y canteras,0.009111249097676133,0.004639000508774416,-0.00451357992722512,-0.008925445062434312
"023-025|026|027|028,032,035|029|030,031|033|034|036","Alimentos, bebidas y tabaco",0.006478001179062387,0.0054785045120993026,0.017135037325343605,0.01612495754370169
"037,038",Textiles y confecciones,0.0022709216973502144,0.00013902122351860946,0.019128110281449784,0.01696035338641333
039,"Cuero, calzado y artículos de viaje",0.02112176316134029,0.008811581313300065,-0.03138131925318832,-0.0430585477009362
040,Madera,0.001222527649991978,-0.010635501633013078,0.008112560995410245,-0.003827070743506966
041,Papel y cartón,0.008050811390817758,0.0039146919668693325,0.013731669182823536,0.0095722407093779
042,Impresión y reproducción,-0.016344185320070204,-0.021563053959805845,0.03402611021632951,0.028539997738021627
"043,044",Coquización y refinación,0.029400902431840015,0.02303727564423297,-0.003741640954709635,-0.009900384711414079
045-047,Químicos y farmacéuticos,0.02946903203032436,0.026103771213176197,-0.004939726016419788,-0.008192507058442322
048,Caucho y plástico,0.02762993878337716,0.023006205626023624,-0.008305916013067627,-0.01276795886042803
049,Minerales no metálicos,0.013865562240417129,0.007832412182043225,-5.181281237465196e-05,-0.006002145567114425
"050,051",Metalurgia y productos metálicos,0.01379491991699,0.009018729374544066,0.0025294039625141096,-0.002193712482103427
052,Equipo eléctrico y electrónico,0.012451644475257373,0.008678413818930863,0.028318799956775775,0.02448643518000182
"053,057",Maquinaria e instalación,0.009348088534115728,0.003353159958064511,-0.004968151893378736,-0.010878050498287717
054,Vehículos y equipo de transporte,-0.011961096065929544,-0.017864657678630325,0.023073198315559873,0.01696030575990215
055,Muebles y colchones,0.016420699790433924,0.011966121235768012,0.0035343520224788705,-0.0008637506571611553
056,Otras manufactureras,-0.0048438842124426396,-0.006683326710993476,0.017142098411732087,0.015262017112726012
058-060,Energía eléctrica,0.026592143824372805,0.022172348062543756,0.003306451620852524,-0.0010130920551492117
061,"Gas, vapor y aire acondicionado",0.02960636572194586,0.02584357424864514,0.003326779178596029,-0.00033997112066075363
062,Agua,0.04387529765831499,0.04199959952685406,-0.03016302232568835,-0.03190568393567772
"063,064,066","Aguas residuales, desechos y saneamiento",0.04264789753968978,0.0369646088786888,-0.026395262215628712,-0.03170220886521513
065,Reciclaje,0.277392648263338,0.2676218175716789,-0.19834354367410145,-0.20447544800147088
067,Edificaciones,0.03134381300026634,0.02670440993215606,-0.03079319881855791,-0.03515308438761333
068,Obras civiles,0.040486045034572316,0.03435256570020817,-0.020073080066677185,-0.025849574178521406
069,Actividades especializadas de construcción,0.03800158341338955,0.034061406581732845,-0.028977781930471957,-0.0326637100714291
070|071,Comercio; Reparación de vehículos,0.01450259111062735,0.009774412300520119,0.027606062731658776,0.02281681403626945
"072,074",Transporte terrestre y tuberías,0.02663080857807998,0.015222599077796772,0.003319770732166605,-0.007829399977157814
073,Transporte acuático,0.018358787801651788,0.01056306437933574,-0.0176307665194112,-0.02515098329815524
075,Transporte aéreo,0.036274490964895545,0.029080441374934818,0.03735230342860607,0.03015077142314615
076,Almacenamiento y apoyo al transporte,0.024349212060319037,0.018690868472270417,0.025867524976732614,0.020200794467452488
077,Correo y mensajería,0.07273939211474323,0.0705081464396462,-0.034050668997482214,-0.03605979654794278
078-080,Alojamiento y comida,0.04758416755364192,0.040713398029804226,-0.004220127844990484,-0.010751129563001172
081-084,Información y comunicaciones,-0.0006637951495040983,-0.007994993876412115,0.044920494524385735,0.03725488633167218
085-088,Financieras y seguros,0.044865554348358705,0.043277731000169295,0.015571549382189742,0.014028242483847597
089,Inmobiliarias,0.02642101005844233,0.01891008344358891,0.008463356587022464,0.0010838366913195063
090-093,"Profesionales, científicas y técnicas",0.04426740174055066,0.04096025614796628,-0.01600074621452141,-0.01911702542599436
094-097,Servicios administrativos y de apoyo,0.04764405420849105,0.042843796076082574,-0.008693011880278267,-0.013235136099205125
"098,099",Administración pública y defensa,0.03303603269687505,0.02631562553406619,0.020609711654187457,0.013970143817694014
100|101,Educación de mercado; Educación de no mercado,0.020114407949813007,0.02299457957667972,0.012712331484192152,0.015571604229080549
"102,103",Salud y servicios sociales,0.025065739393616004,0.02577438647176611,0.02469788509858417,0.025406277872194183
104-108,"Arte, recreación y otros servicios",0.016526578167798123,0.0169593481221455,0.0727545018982434,0.07321120999302755
109,Hogares como empleadores,0.004195005051401246,-0.0041324314778707905,0.03491782219559503,0.026335612132814434
