sector_code,sector,pib_trabajador_2010,pib_trabajador_2025,crec_pib_trabajador,pib_hora_2010,pib_hora_2025,crec_pib_hora
A,Agropecuario,13.510751435150661,20.4269966621645,0.02794134503397805,5777.622480796794,9361.243396250928,0.03269551706990703
B,Minas,200.80025583455117,115.79302909917726,-0.03603512306994183,77627.57169009533,48440.77732720253,-0.030949655732901094
C,Manufactura,40.10439253841324,44.99371883132802,0.007698618512352207,16522.296649796062,19530.153389960436,0.011212313252072281
D+E,Servicios públicos,176.51493899606695,99.4619176191062,-0.037520051058758,69986.85134420314,43452.011159341826,-0.03127711004778699
F,Construcción,41.782994234701185,26.145737759926565,-0.030770205326676514,16428.8928278483,11011.364204686271,-0.026321630736615864
G+H+I,"Comercio, transporte y alojamiento",20.86299800413609,24.11131450259721,0.00969361850451178,7931.576908478826,10117.598717363559,0.016360693078806943
J,Información y comunicaciones,45.408733692429664,78.59985264662826,0.03725488633167218,17610.32036236782,34042.07043096726,0.044920494524385735
K,Financieras,101.03473065585972,124.51493711698781,0.014028242483847597,42976.59314757772,54186.34691822161,0.015571549382189742
L,Inmobiliarias,279.99420715390875,284.58092533255433,0.0010838366913195063,105347.33341130118,119543.33910561772,0.008463356587022464
M+N,Profesionales y administrativas,54.29004751862662,42.436579189422766,-0.016287908232572534,24795.88668238714,20618.751029363793,-0.012223141300222617
O+P+Q,"Adm. pública, educación y salud",43.8823949883334,58.35774709331897,0.019187009864884086,19508.956703085234,26080.29410168772,0.01954225372631413
R+S,"Arte, recreación y otros servicios",11.38242022026227,32.84827896354853,0.07321120999302755,5566.280569772302,15961.374211212253,0.0727545018982434
T,Hogares como empleadores,6.359947820261186,9.392788199470699,0.026335612132814434,2664.6809259326837,4458.956159341668,0.03491782219559503
